Via,Rezia,"dispari dal 23, pari dal 28",S. Teodoro
Via,Riboldi,,Duomo
Via,Ridella,,S. Maria Assunta in Mirabello
Via,Rismondo,,Ss. Gervasio e Protasio
Via,Riviera,"dispari dal 63, pari dal 32",S. Lanfranco
Via,Riviera,"dispari fino al 61, pari fino al 30",SS. Salvatore
Strada,Rizza,,S. Maria Assunta in Mirabello
Via,Robecchi Bricchetti,,SS. Salvatore
Via,Robolini,,Ss. Primo e Feliciano
Via,Rolla,Unnamed: 0,SS. Salvatore
Via,Roma,,S. Maria del Carmine
Via,Romagna,,S. Alessandro Sauli
Via,Romagnosi,,S. Maria del Carmine
Via,Romano,,Sacra Famiglia
Via,Romero,,S. Lanfranco
Strada,Rosio,,S. Alessandro Sauli
Via,Rosselli Fratelli,,Spirito Santo
Via,Rossi,,SS. Crocifisso
Strada,Rottino Nuovo,,S. Maria in Betlem
Strada,Rottino Vecchio,,S. Maria in Betlem
Vicolo,Rovelecca,,S. Teodoro
Via,Rusconi,,S. Michele
Via,S. Maria alle Pertiche,,S. Francesco
Via,S. Maria di Caravaggio,,S. Maria di Caravaggio
Piazza,S. Pietro in Ciel d’Oro,,S. Maria del Carmine
Via,Sabbione,,S. Carlo Borromeo
Via,Sacchi,,S. Francesco
Via,Sacco,,Ss. Primo e Feliciano
Via,Salaroli,,SS. Crocifisso
Via,Salimbeni,,S. Pietro Apostolo
Via,Saluzzo,,S. Alessandro Sauli
Piazza,San Bernardo,,S. Maria Assunta in Mirabello
Via,San Carlo,,Ss. Primo e Feliciano
Vicolo,San Colombano,,S. Michele
Vicolo,San Dalmazio,,Ss. Primo e Feliciano
Vicolo,San Donnino,,S. Francesco
Via,San Felice,,S. Maria del Carmine
Via,San Fermo,,S. Francesco
Via,San Giovanni al Fonte,,S. Maria del Carmine
Via,San Giovanni Bosco,,S. Maria delle Grazie
Via,San Giovanni in Borgo,,Ss. Primo e Feliciano
Via,San Giovannino,"dispari fino al 13, pari fino al 16",S. Maria delle Grazie
Via,San Giovannino,dispari dal 19 al 39,Spirito Santo
Piazzale,San Giuseppe,,Sacra Famiglia
Vicolo,San Gregorio,,Ss. Gervasio e Protasio
